movie_id,title,url,rating_overall,rating_num,rating_5,rating_4,rating_3,rating_2,rating_1
27107609,过往的梦,https://movie.douban.com/subject/27107609/,null,NA,NA,NA,NA,NA,NA
26810318,阿尔法：狼伴归途,https://movie.douban.com/subject/26810318/,6.4,42880,6.80%,23.40%,54.80%,13.30%,1.70%
27195119,李宗伟：败者为王,https://movie.douban.com/subject/27195119/,6.9,9630,12.70%,30.40%,45.30%,11.10%,0.50%
30259493,黑暗深处之惊魂夜,https://movie.douban.com/subject/30259493/,null,NA,NA,NA,NA,NA,NA
25725222,守望一生,https://movie.douban.com/subject/25725222/,null,NA,NA,NA,NA,NA,NA
30327768,远去的牧歌,https://movie.douban.com/subject/30327768/,6.9,1798,12.50%,35.40%,38.50%,12.50%,1.00%
27191430,勇敢往事,https://movie.douban.com/subject/27191430/,null,NA,NA,NA,NA,NA,NA
30311865,古墓兽影,https://movie.douban.com/subject/30311865/,3.1,1038,0.00%,0.00%,11.00%,32.90%,56.20%
26916229,镰仓物语,https://movie.douban.com/subject/26916229/,6.9,124658,10.80%,33.30%,46.40%,8.60%,1.00%
30305663,审判者1,https://movie.douban.com/subject/30305663/,3.7,291,0.00%,0.00%,20.00%,45.70%,34.30%
26869119,念念手纪,https://movie.douban.com/subject/26869119/,6.7,25324,10.00%,28.80%,46.70%,12.60%,1.90%
26607969,未择之路,https://movie.douban.com/subject/26607969/,6.7,17416,5.80%,31.60%,53.10%,8.70%,0.90%
27611552,说走就走之不说再见,https://movie.douban.com/subject/27611552/,4.1,1507,7.40%,3.70%,20.40%,24.10%,44.40%
26996640,反贪风暴三,https://movie.douban.com/subject/26996640/,5.7,117209,3.20%,13.20%,52.80%,26.50%,4.30%
26785020,黑蝴蝶,https://movie.douban.com/subject/26785020/,6.6,1272,10.20%,26.50%,46.90%,13.30%,3.10%
30227727,禹神传之寻找神力,https://movie.douban.com/subject/30227727/,null,NA,NA,NA,NA,NA,NA
27181026,漂亮的村事,https://movie.douban.com/subject/27181026/,null,NA,NA,NA,NA,NA,NA
30327877,特别追踪,https://movie.douban.com/subject/30327877/,4,1201,1.10%,2.30%,27.60%,33.30%,35.60%
30308908,我是检察官,https://movie.douban.com/subject/30308908/,null,NA,NA,NA,NA,NA,NA
3078549,虎胆追凶,https://movie.douban.com/subject/3078549/,6.5,26660,3.90%,25.70%,60.90%,8.40%,1.10%
27597216,极品师徒,https://movie.douban.com/subject/27597216/,null,NA,NA,NA,NA,NA,NA
26606774,关关雎鸠,https://movie.douban.com/subject/26606774/,null,NA,NA,NA,NA,NA,NA
30313579,舌尖上的斗争,https://movie.douban.com/subject/30313579/,null,NA,NA,NA,NA,NA,NA
27102569,悲伤逆流成河,https://movie.douban.com/subject/27102569/,5.8,252454,7.60%,19.60%,38.00%,24.60%,10.20%
30312917,天刃,https://movie.douban.com/subject/30312917/,null,NA,NA,NA,NA,NA,NA
26972258,江湖儿女,https://movie.douban.com/subject/26972258/,7.6,285261,17.00%,50.10%,29.00%,3.40%,0.60%
26858594,哥斯拉：怪兽行星,https://movie.douban.com/subject/26858594/,6.2,12146,4.20%,20.00%,57.30%,16.80%,1.70%
27020981,天慕,https://movie.douban.com/subject/27020981/,null,NA,NA,NA,NA,NA,NA
27069427,黄金兄弟,https://movie.douban.com/subject/27069427/,5,48698,3.30%,7.80%,37.30%,38.70%,12.90%
30324169,迷失的彩虹 古坠归来,https://movie.douban.com/subject/30324169/,null,NA,NA,NA,NA,NA,NA
30322390,亭城之恋,https://movie.douban.com/subject/30322390/,null,NA,NA,NA,NA,NA,NA
30327900,中学时代,https://movie.douban.com/subject/30327900/,null,NA,NA,NA,NA,NA,NA
24743257,冷恋时代,https://movie.douban.com/subject/24743257/,3.6,465,2.30%,0.00%,25.00%,22.70%,50.00%
30142649,大闹西游,https://movie.douban.com/subject/30142649/,4.9,1989,3.50%,8.00%,36.30%,35.40%,16.80%
26806099,爱猫之城,https://movie.douban.com/subject/26806099/,8.3,24669,35.10%,44.70%,18.80%,1.20%,0.20%
27092785,李茶的姑妈,https://movie.douban.com/subject/27092785/,4.6,314096,2.40%,7.20%,30.70%,37.70%,22.10%
4864908,影,https://movie.douban.com/subject/4864908/,7.2,571007,13.10%,43.70%,35.50%,6.20%,1.60%
26930565,营救汪星人,https://movie.douban.com/subject/26930565/,null,NA,NA,NA,NA,NA,NA
26425063,无双,https://movie.douban.com/subject/26425063/,8,904693,25.30%,52.30%,20.20%,1.80%,0.30%
27149818,胖子行动队,https://movie.douban.com/subject/27149818/,4.2,80562,3.00%,4.60%,24.70%,33.10%,34.60%
26816372,古剑奇谭之流月昭明,https://movie.douban.com/subject/26816372/,4.1,8526,5.30%,3.60%,18.20%,37.40%,35.40%
35791622,新灰姑娘,https://movie.douban.com/subject/35791622/,5,1760,8.80%,8.80%,30.80%,25.30%,26.40%
30208004,阿凡提之奇缘历险,https://movie.douban.com/subject/30208004/,4.7,2721,3.70%,6.80%,33.50%,31.40%,24.60%
26985179,假装不正经,https://movie.douban.com/subject/26985179/,null,NA,NA,NA,NA,NA,NA
27140071,找到你,https://movie.douban.com/subject/27140071/,7.3,197779,12.60%,44.80%,37.20%,4.60%,0.70%
30128986,午夜幽灵,https://movie.douban.com/subject/30128986/,null,NA,NA,NA,NA,NA,NA
26649627,超能泰坦,https://movie.douban.com/subject/26649627/,4.6,10497,1.60%,5.50%,29.90%,44.90%,18.10%
30140571,嗝嗝老师,https://movie.douban.com/subject/30140571/,7.4,91964,15.20%,46.00%,34.90%,3.50%,0.40%
30255138,张艺谋和他的“影”,https://movie.douban.com/subject/30255138/,7.1,9742,11.50%,40.20%,40.10%,6.50%,1.70%
26794854,帝企鹅日记二：召唤,https://movie.douban.com/subject/26794854/,7.3,3388,13.00%,44.90%,35.90%,5.90%,0.30%
30323188,恐龙王,https://movie.douban.com/subject/30323188/,5.9,2458,6.40%,21.10%,44.00%,20.20%,8.30%
30196863,我要去远方,https://movie.douban.com/subject/30196863/,null,NA,NA,NA,NA,NA,NA
30162995,沿海出发,https://movie.douban.com/subject/30162995/,5.9,425,9.80%,17.60%,39.20%,23.50%,9.80%
30336271,皮鞋,https://movie.douban.com/subject/30336271/,null,NA,NA,NA,NA,NA,NA
30347761,梦想者联盟,https://movie.douban.com/subject/30347761/,null,NA,NA,NA,NA,NA,NA
26944582,雪怪大冒险,https://movie.douban.com/subject/26944582/,7.3,29134,12.20%,44.50%,39.70%,3.30%,0.20%
27039069,宝贝儿,https://movie.douban.com/subject/27039069/,5.3,47676,4.10%,12.00%,40.90%,29.90%,13.10%
26999424,我的间谍前男友,https://movie.douban.com/subject/26999424/,6.1,47795,4.20%,20.80%,54.00%,18.30%,2.70%
26929835,跨越八年的新娘,https://movie.douban.com/subject/26929835/,6.8,11865,9.90%,28.80%,53.40%,7.40%,0.50%
26384292,无敌原始人,https://movie.douban.com/subject/26384292/,6.2,8103,4.20%,20.00%,57.10%,16.60%,2.00%
27201451,非洲遇见你,https://movie.douban.com/subject/27201451/,null,NA,NA,NA,NA,NA,NA
26857964,向阳的日子,https://movie.douban.com/subject/26857964/,5.9,713,5.90%,21.60%,45.10%,17.60%,9.80%
27204589,美丽战争,https://movie.douban.com/subject/27204589/,null,NA,NA,NA,NA,NA,NA
3538070,八仙,https://movie.douban.com/subject/3538070/,7.8,8872,23.00%,45.90%,27.50%,2.80%,0.80%
26290410,昨日青空,https://movie.douban.com/subject/26290410/,6.1,99313,7.30%,20.30%,46.30%,20.80%,5.20%
26878103,暮光·巴黎,https://movie.douban.com/subject/26878103/,3.9,1684,3.50%,5.30%,19.30%,28.10%,43.90%
26359246,灵魂契约,https://movie.douban.com/subject/26359246/,6.2,13101,5.50%,20.00%,55.10%,16.70%,2.80%
25867012,追鹰日记,https://movie.douban.com/subject/25867012/,7.6,6868,17.20%,47.50%,31.30%,3.60%,0.40%
30181130,阿拉姜色,https://movie.douban.com/subject/30181130/,7.6,22601,14.10%,54.80%,27.90%,2.90%,0.30%
35262994,铁血战士,https://movie.douban.com/subject/35262994/,6.4,32369,7.60%,24.60%,49.50%,14.60%,3.70%
30201164,寄生夙愿,https://movie.douban.com/subject/30201164/,null,NA,NA,NA,NA,NA,NA
19967776,冒牌恋人,https://movie.douban.com/subject/19967776/,null,NA,NA,NA,NA,NA,NA
27008394,功夫联盟,https://movie.douban.com/subject/27008394/,3.3,8759,1.20%,2.80%,10.70%,28.40%,56.90%
27603669,为你写诗,https://movie.douban.com/subject/27603669/,3.7,3651,3.70%,5.30%,12.20%,30.70%,48.10%
26715845,黑暗迷宫,https://movie.douban.com/subject/26715845/,5.2,7398,2.50%,11.20%,39.50%,35.60%,11.20%
10759740,滴答屋,https://movie.douban.com/subject/10759740/,5.4,18571,2.20%,9.50%,51.10%,31.30%,5.90%
25300674,冰封侠：时空行者,https://movie.douban.com/subject/25300674/,2.8,13118,1.50%,0.70%,6.20%,18.30%,73.30%
26756259,二十岁,https://movie.douban.com/subject/26756259/,3.8,2769,3.80%,3.20%,15.90%,33.10%,43.90%
26958765,堡藏,https://movie.douban.com/subject/26958765/,null,NA,NA,NA,NA,NA,NA
26685451,流浪猫鲍勃,https://movie.douban.com/subject/26685451/,7.9,201076,25.20%,48.00%,24.50%,2.10%,0.20%
26985916,你美丽了我的人生,https://movie.douban.com/subject/26985916/,6.1,701,19.20%,11.50%,34.60%,23.10%,11.50%
26793385,飓风奇劫,https://movie.douban.com/subject/26793385/,5.8,14671,2.30%,14.00%,56.80%,24.30%,2.60%
30346859,阴阳眼之瞳灵公馆,https://movie.douban.com/subject/30346859/,null,NA,NA,NA,NA,NA,NA
26741061,胡桃夹子与四个王国,https://movie.douban.com/subject/26741061/,5.9,91898,3.70%,15.70%,56.50%,21.30%,2.90%
3168101,毒液：致命守护者,https://movie.douban.com/subject/3168101/,7.2,807789,11.80%,42.00%,40.20%,5.30%,0.70%
25733522,自行车与旧电钢,https://movie.douban.com/subject/25733522/,8.5,3761,37.00%,50.00%,12.00%,0.80%,0.20%
27079337,台仙魔咒,https://movie.douban.com/subject/27079337/,null,NA,NA,NA,NA,NA,NA
27158277,产科男生,https://movie.douban.com/subject/27158277/,null,NA,NA,NA,NA,NA,NA
26774001,开学悸,https://movie.douban.com/subject/26774001/,4,829,5.20%,1.70%,24.10%,27.60%,41.40%
