page_index,movie_id,title,username,user_id,rating,date,time,comment,useful_count
0,26746958,阿修罗,懒惰的生生赵,191606111,很差,2023-02-11,06:38:20,哈哈哈我和朋友就是当时线下买票去看的冤大头,0
0,26746958,阿修罗,乐知时,226530966,还行,2023-02-10,12:38:48,2018.07.13 翻日记才发现和朋友看过这个 纪念一下,0
0,26746958,阿修罗,鲸鱼鲸鱼🐳,184831219,很差,2023-02-08,21:33:28,电影太烂 毁了这个卡司阵容,0
0,26746958,阿修罗,重生之只想爱人,232729765,很差,2023-01-27,21:45:41,一坨大便,0
0,26746958,阿修罗,蛋炒饭,194619565,很差,2023-01-15,12:43:24,说实话，完全没看懂在讲什么,0
0,26746958,阿修罗,青青子衿,156683944,力荐,2023-01-14,03:50:03,很好，这部剧被网爆，所以评分不高，客观来说这部剧不错，值得一看。,0
0,26746958,阿修罗,武家胜帥,wujiasheng123,,2023-01-05,09:46:31,亏惨,0
0,26746958,阿修罗,fff土匪,242866097,,2022-12-30,20:54:32,疯了,0
0,26746958,阿修罗,祖AA,223889735,很差,2022-12-28,11:15:28,"东方魔幻大片,,哎一言难尽",1
0,26746958,阿修罗,Doinb金咕咕,182711921,很差,2022-12-20,17:23:18,娘诶这部更是legendary,1
0,26746958,阿修罗,萨摩耶本耶,260876961,较差,2022-12-16,14:50:35,。。。。。。,0
0,26746958,阿修罗,快乐万岁,163413329,很差,2022-12-14,01:38:09,……,0
0,26746958,阿修罗,往事暗沉不可追,250801126,很差,2022-12-09,11:16:47,超级烂片,0
0,26746958,阿修罗,go within,q2493657,,2022-12-06,12:41:45,补标。,0
0,26746958,阿修罗,炸油条不睡觉,199277463,较差,2022-11-28,13:18:51,比预期好，算是国产魔幻电影中质感和特效最好的，还是钱花到了，创作态度也认真，所以虽然满目混杂，节奏也有些冗长，但气场还能兜得住。要赞一下动作设计，人与飞魂之间的配合让打斗奇趣横生,0
