page_index,movie_id,title,username,user_id,rating,date,time,comment,useful_count
0,26125842,夺路而逃,月吟知秋,172248684,较差,2023-02-09,17:06:10,没看完，看一半看不下去了,0
0,26125842,夺路而逃,网好卡,243878657,还行,2023-01-28,17:07:47,"偶然在电视上看到的，朴河宣小姐姐演的很认真，也很好看，一星给不知情的韩国萨拉米。
垃圾片",0
0,26125842,夺路而逃,烈焰红唇龙,lovehans,很差,2023-01-02,22:07:50,央6晚上看的，女主很漂亮，张一山大概是最适合演穿越爽文的男主了。,0
0,26125842,夺路而逃,向心力拓展培训,254123545,较差,2023-01-01,23:12:45,确实垃圾，白瞎了张一山,0
0,26125842,夺路而逃,zwz3281533,165260699,推荐,2022-12-30,23:16:46,只能说一句，他爹有钱真牛,0
0,26125842,夺路而逃,辟谷吗,179316489,很差,2022-12-29,23:45:53,女主的古装倒也算得上温婉贤淑,0
0,26125842,夺路而逃,阿鹿,152097185,推荐,2022-12-15,22:57:47,为什么最近总在看烂片……CHC动作电影频道你行不行啊…,0
0,26125842,夺路而逃,终结十张,55906483,还行,2022-12-13,22:20:58,只能说一句，他爹有钱真牛,0
0,26125842,夺路而逃,点点,47044569,推荐,2022-12-13,22:20:49,借鉴了百万富翁变乞丐的剧情，讲真演技还是在线的，这些场面就用在了这么烂的片子里，资本浪费啊,0
0,26125842,夺路而逃,朱小猪,186935836,还行,2022-12-12,23:13:17,以为是个俗套穿越剧，没想到还挺有新意，可以一看。 2017.03.31,0
0,26125842,夺路而逃,啵啵啵珀,256191877,较差,2022-12-11,23:41:03,不知道张一山现在怎么样了…,0
0,26125842,夺路而逃,洋洋你好帅,143628321,很差,2022-12-09,15:43:37,CCTV6不好看系列，什么玩意嘛！,0
0,26125842,夺路而逃,只因云中雷,171676657,很差,2022-12-04,00:05:37,已阅,0
0,26125842,夺路而逃,暖阳,262283292,较差,2022-11-02,08:04:41,好久之前看过。。。,0
0,26125842,夺路而逃,B.T-King!,57997515,很差,2022-10-24,21:14:17,哈哈哈哈哈隔离期烂片大集合,0
0,26125842,夺路而逃,皓天眩光,46568391,还行,2022-10-13,18:55:58,本以为是穿越剧，没想到是现实版。,0
0,26125842,夺路而逃,今天多喝水了吗,173465967,很差,2022-10-03,08:48:05,值班的时候被迫收看,0
0,26125842,夺路而逃,星河千帆,102305545,很差,2022-09-25,13:50:02,这剧情特效布景，真的不是洗钱电影吗？？,0
0,26125842,夺路而逃,zxcrd,158983533,很差,2022-09-25,12:39:47,cctv6又播这种烂片,1
0,26125842,夺路而逃,tdh@XNevk7ByEb,IlIlIllIlIlI,很差,2022-09-25,12:27:40,加长版传奇网页游戏广告,0
0,26125842,夺路而逃,高飞,180753084,力荐,2022-07-30,20:46:19,张一山,0
0,26125842,夺路而逃,请勿打扰,212525509,很差,2022-07-16,23:41:37,这玩意儿我看过！但是全忘了,0
0,26125842,夺路而逃,DHA🤗永春旅游专,209807810,力荐,2022-06-28,19:40:01,尚可,0
0,26125842,夺路而逃,最热的棒,yongjiashengli,很差,2022-06-08,21:51:41,珍惜时间，做点其他有意义的事不好嘛？,0
0,26125842,夺路而逃,起点,146179528,较差,2022-06-03,22:28:10,张一山的造型，哎呀我靠,0
0,26125842,夺路而逃,江天暮雪,47165746,还行,2022-05-21,21:50:23,何云伟李菁，辛亏逃出了德云社。,0
0,26125842,夺路而逃,豆友OdfzRzvexw,256099672,,2022-05-15,18:33:26,什么玩意儿,0
0,26125842,夺路而逃,噬元兽,71262873,还行,2022-05-08,19:36:42,原版救儿子创楚门世界的电影很多年前就拍过了，如今这个创意还是一用再用，毫无新意。行吧，少强加一星……,0
0,26125842,夺路而逃,莫上人如玉,197406412,较差,2022-04-28,18:07:54,那个公主中毒之后，一个人工呼吸就救火活了，尼玛，逗呢！,0
0,26125842,夺路而逃,至上励合-杨迪,234258564,很差,2022-04-22,22:47:08,一般再烂我都不打一星。。这个结局实在蚌埠住了🥲,0
0,26125842,夺路而逃,晴川任平生,189582111,很差,2022-04-22,18:04:09,"韩国女演员肯定后悔来演这部片子
",0
0,26125842,夺路而逃,爱吃的羊菇凉,Yang0413,还行,2022-04-09,23:04:29,就咋说，父亲真伟大,0
0,26125842,夺路而逃,冥逸少年,185408197,较差,2022-03-13,10:17:42,还能看，消磨消磨时间，女主很好看,0
0,26125842,夺路而逃,小半蹲,tinkertseng,很差,2022-03-04,20:36:04,看到李菁出场，我就想，虽然难看，就当看小品吧。但这是真看不下去啊，小学生级别的网文啊这是,0
0,26125842,夺路而逃,今天我,121873079,很差,2022-02-19,13:46:32,我真的不该过于相信自己的承受能力,0
0,26125842,夺路而逃,眼  镜,229767332,较差,2022-02-09,22:48:15,真是无言以对，张一山撑不起来烂剧情。。。,0
0,26125842,夺路而逃,沉星,52700748,很差,2022-01-30,16:45:07,到底谁投资拍的。。。。。。,0
0,26125842,夺路而逃,Kidd_Huang,3646958,很差,2022-01-20,15:09:18,不要看，不要看，不要看，不要看，不要看！,0
0,26125842,夺路而逃,啊秋,227640115,很差,2022-01-17,21:11:01,为什么不能零分！张一山你怎么能这样,0
0,26125842,夺路而逃,tottal,3436693,很差,2022-01-04,13:25:32,尬,0
0,26125842,夺路而逃,海歌,218346466,,2021-12-23,13:16:37,看了糟心啊。,0
0,26125842,夺路而逃,大苗子,158977504,很差,2021-12-21,21:00:52,垃圾垃圾,0
0,26125842,夺路而逃,Mia,184177407,较差,2021-12-21,19:26:37,有钱人的游戏。张一山拍啥都一个样，像只随时暴走的大马猴,3
0,26125842,夺路而逃,彼岸花,226908967,较差,2021-12-09,12:43:46,这部电影是有钱人太无聊的生活，闲的,0
0,26125842,夺路而逃,孟子叔叔,180205063,很差,2021-12-05,21:10:35,太烂了，圈钱的吧，演技浮夸死,0
