page_index,movie_id,title,username,user_id,rating,date,time,comment,useful_count
0,25909389,亡命救赎,遥远的天空,2829270,力荐,2016-08-29,03:06:08,极简洁干脆，毫无拖泥带水，叙事的张力如此紧凑出色，甚至很难暂停去WC，从故事的层次来说，这绝对是很成功的电影，既有着浓重的西部片色彩，又不乏恰到好处的真实可信度。,60
0,25909389,亡命救赎,vivi,vivifyvivi,还行,2016-10-21,20:37:36,女儿有点蠢，但是反正有这样的爸爸，再蠢也是正常的。,52
0,25909389,亡命救赎,安蓝·怪伯爵𓆝𓆟𓆜,along,较差,2019-01-12,07:45:29,全好莱坞的老铁头儿都去保护不争气的蠢闺女去了……累不累啊？！,23
0,25909389,亡命救赎,托尼·王大拿,Zizou_Vam,较差,2018-12-03,01:26:19,假装很硬核,8
0,25909389,亡命救赎,张咏轩Wayne®,55617091,还行,2016-09-08,13:28:03,中规中矩的惊悚片，沧桑老父营救白痴女儿的故事，大部分场景都在偏远小镇，让电影有了一种复古怀旧的味道，父女间的相处，鸡汤式的对话，构成冲突的点，都老套无新，还好追车的动作场面够带感，梅尔·吉布森潦倒邋遢的形象骑着哈雷机车，让人一阵喜悦，这是致敬更是追忆，回忆并且重温属于他的电影年代,21
0,25909389,亡命救赎,而已,vinc.choi,较差,2016-10-31,13:25:32,冗长拖沓,11
0,25909389,亡命救赎,阿朽,fuxiu,较差,2018-11-30,22:35:49,打发吃好饭和游泳之间时间的短电影，逻辑实在不成立。,1
0,25909389,亡命救赎,荒林,CJS1991,较差,2016-10-18,02:41:29,老梅发飙后才好看起来,1
0,25909389,亡命救赎,痞子老九,shady9,还行,2016-08-28,03:24:48,全片亮点真心不多，可惜了60岁依旧如此酷帅刚猛的“男神”梅尔·吉布森啊！,9
0,25909389,亡命救赎,66号公路灰狗,achangel124,还行,2016-10-31,09:26:46,后半段也算是挺燃的，结尾略有仓促，风格不错，就是穿插的教育说教太多，哈雷的爆炸和主角的死亡，象征意义难道是想说老派动作电影的没落么～～,9
0,25909389,亡命救赎,扭腰客,mlsslm777,较差,2017-01-01,17:03:21,吉布森其实还是在演自己嘛,1
0,25909389,亡命救赎,外出偷狗,thomasneeson,较差,2017-03-27,23:26:59,未来外父杀女婿,1
0,25909389,亡命救赎,帕拉,58059498,还行,2016-08-27,20:14:31,无奈作为动作冒险片并没制造任何奇观，父女关系修补过程作为其中鸡汤线索也没亮点。还好梅尔·吉布森依旧酷帅。[C],1
0,25909389,亡命救赎,范海鑫,68541733,较差,2021-09-22,15:04:24,梅尔吉布森版《飓风营救》，公路电影，傻逼女儿,0
0,25909389,亡命救赎,荔枝超人,richer725,还行,2016-10-22,15:10:54,好看的B-movie,1
0,25909389,亡命救赎,обломов,glim,很差,2016-09-11,01:52:59,看了一会儿，感觉吉布森接这片有点澳洲黄秋生了,6
0,25909389,亡命救赎,寒狐传媒,Smeagol,推荐,2016-10-29,21:52:01,3.5星。浪女回头金不换，老爹出马全搞定。,32
0,25909389,亡命救赎,Lonely,47461599,还行,2019-05-17,10:47:15,6.5/10 分。初看，蓝光。节奏还算紧凑，有些台词也算不错，妹子也很不错，但整体比较疲乏，缺少那种大场面大冲突。。。可能是对梅尔·吉布森这种过去的巨星期待过高了。。。在如今超级英雄片横扫一切的年代，即使是过去的动作巨星，也没落了。。。,0
0,25909389,亡命救赎,Panda的影音,PandaMovieMusic,还行,2018-12-03,21:22:45,⒈果然「常用标签」里很多人标「美国」，我也一度以为这是美国电影，以至于看到IMDb和豆瓣电影条目制片国家/地区是「法国」一时还有些诧异；⒉这样一部台词里各种「Fuck」的R级动作片翻译成「该死」什么的，还是引进上映了，可惜很多想看的R级电影却没能引进……⒊《亡命救赎》≈《飓风营救》≈《虎胆追凶》＜＜《飓风营救》。,0
0,25909389,亡命救赎,君心可晴,3199619,还行,2021-09-25,12:29:55,不是烂片，也并不好看。父爱情感的表现很感人，这是影片的核心，救赎和正能量，只是整体剧情，节奏，B故事都失调了，梅尔吉普森的身材真好，扮相也好，和他2010年的《黑暗边缘》差不多，都是展现父爱，只不过都不那么好看，他还是应该导演电影，《血战钢锯岭》《勇敢的心》《启示录》《耶稣受难记》多好看呀。……女主艾琳莫里亚蒂在《黑袍纠察队》Starlight很不错。,1
0,25909389,亡命救赎,龙皇,145516659,还行,2019-12-14,19:15:08,一入江湖，无法自拔，远离黑毒，爱惜生命和家人。,0
0,25909389,亡命救赎,SELVEN,SELVEN,较差,2018-11-30,18:55:11,50/100 本片的唯一卖点可能是梅尔吉布森这个保守派宣布和纳粹划清界限。,1
0,25909389,亡命救赎,琧婯,cloudlandlord,还行,2016-10-14,21:20:19,好平。。。,0
0,25909389,亡命救赎,Maxthor,whz1143243564,还行,2017-04-06,23:58:54,拍得有点平铺直叙，但剧情还是不错的。全片的聚焦点有点混乱，导演究竟想要聚焦在父女情还是什么，影片没有给出很明显的答案。吉布森和莫里亚蒂的搭配还是蛮养眼的，硬汉老爸加痞子女儿，莫里亚蒂虽然身材好但演技略粗糙，还需多磨练。总之全片还是过于平淡吧，最后吉布森死前那段BGM实在太违和。,3
0,25909389,亡命救赎,.,37608497,还行,2016-08-26,19:00:58,女主 ◑_◐,0
0,25909389,亡命救赎,谢谢你们的鱼,reave,推荐,2016-10-17,11:42:48,老派硬汉电影，节奏很舒服，父女的大漠逃亡，虽说故事很老，但是味道很正点，还是梅尔吉布森这样的硬汉看着比较顺眼。,30
0,25909389,亡命救赎,国产凌凌期,62917415,推荐,2017-01-23,21:09:13,这样一部动作片就算是出现在三十年前也不奇怪，88分钟的篇幅，极简洁的故事，除了一些名词外看不出什么新鲜的元素。老梅山区摩托追逐简直一代麦克斯再现，看到这一幕也就不留遗憾了。5.7的高分证明豆瓣的文青着实难伺候。,14
0,25909389,亡命救赎,国士,mywildheart,很差,2019-01-14,09:23:13,烂,0
0,25909389,亡命救赎,擒绪,51255691,较差,2018-12-02,15:47:39,"京东会员免费然后去百老汇看了，三个人的场。。。场面剧情确实不温不火，评分低是有原因的。。。除了摩托车开公路爆帅。。
Ps:好久没看过这么短时间的电影了。",1
0,25909389,亡命救赎,LM,itsliuming,很差,2016-11-05,16:47:28,嗜血狂人的烂片，不值得看，半星,2
0,25909389,亡命救赎,发ihsioaoibe,82238487,,2020-01-28,18:36:11,想要拍的和连姆尼森不一样，父亲不是退役特工和警察，于是最后安排死掉，女主的人设对于大多数观众来说是大忌，无法产生共情。,0
0,25909389,亡命救赎,厦门雷少,vincentjones,推荐,2016-10-20,21:21:34,有亮点，地理漂亮，女主穿衣服不错，长腿经常露，低胸也有，有些台词，比如搞苹果，都算有趣。,1
0,25909389,亡命救赎,瑾朵朵,jinduoduo,还行,2018-12-05,11:52:31,低配版《金刚狼3》,1
0,25909389,亡命救赎,带头大叔,emd12,还行,2016-11-27,14:31:34,又是一个美国bitchy女，这次害死了她爹的故事,2
0,25909389,亡命救赎,Lazy Designer,lazydesigner,还行,2016-12-11,21:52:50,3.7/5……梅尔吉布森自己导的片还不错，怎么演的些片也就一般般呢？BD 720P 16/12/11,0
0,25909389,亡命救赎,momo,stanling,还行,2023-01-28,01:13:27,为Luna看的，草草拉片完事儿。,0
0,25909389,亡命救赎,心之旋影,Fe.douban,还行,2021-03-06,20:20:59,2021.3.6 19:52,0
0,25909389,亡命救赎,一十一,53659864,还行,2019-05-17,15:53:45,梅尔吉布森是已经老了，不过还没有到不能再战的地步上,0
0,25909389,亡命救赎,柯里昂,pirealwei,较差,2016-10-16,08:55:34,梅尔·吉布森靠着一身“变质”的腱子肉吸引观众也不是办法啊,1
0,25909389,亡命救赎,恶魔的步调,Len.,推荐,2018-11-30,19:53:24,应该安排在父亲节档期的嘛,3
0,25909389,亡命救赎,幸哉乐活,mpower007,还行,2016-12-31,23:53:17,又是丫头惹事老爹摆平的故事，怎么说那没有《飓风行动一》给人的那种感觉好，尼姆连森当时显现出了一个无比强大的老爹这是令人印象深刻，这个故事就显得平淡了没有什么可以留下强烈映象的。,1
0,25909389,亡命救赎,Mia,184177407,推荐,2020-09-26,17:27:45,"已经退隐江湖多年的父亲，为了解决女儿的困境，用鲜血为女儿换来了重生……
逃亡路上父女俩的相互救赎，最后女儿那句“Thank you”道出了千言万语",1
0,25909389,亡命救赎,李湘,leexiang,还行,2018-11-28,08:49:12,画面复古。蠢女儿跟勇猛老爸的故事。不拖泥带水。爆米花电影。倒也能看一看。,0
0,25909389,亡命救赎,独行侠杀手阿何,RockerHo,推荐,2018-12-03,23:21:57,亡命父女相依走天涯，新墨西哥西部风一览无遗。Mel Gibson父亲一角犹如狼叔般英雄迟暮，勇猛不减当年，单枪匹马营救和保护女儿亦像《飓风营救》系列的Liam Neeson。Diego Luna苏帅到不行！！！！！！月亮哥着实太适合演一脸凶狠的黑帮头目了！看得我好想马上去看《毒枭：墨西哥》。Thomas Mann的出现全片最惊喜！可惜结尾一战的收场欠缺技巧和水准。,2
0,25909389,亡命救赎,苏大熊,146455629,还行,2022-02-08,13:59:51,剧情冗长。已经在逃命了还跟西部旅游宣传片似的。父女感情是很真挚，但也是互相拖累的主要原因。,0
